type,productCount
,125
Crewneck,16
phone case,6
Tote Bag,5
Joggers,7
Hoodie,25
hat,5
Wine Tumbler,5
Tumblers,6
Mousepads,8
Headphones,1
Blankets,4
Drinkware,2
Shirt,6
Srunchie,1
Sweatpants,2
Cropped Tank,2
dad hat,1
Shirts & Tops,1
Long Sleeve,1
sticker,2
MUG,1
T-shirt,2
Plushie,1
Tank Top,1
Jacket,3
Gift Cards,2
Mugs,2
Hats,2
Notebooks & Notepads,1
Workout Band Bundle,1
Workout Bra,1
Biker Shorts,1
Tank,1
